stop_id,stop_name,latitude,longitude,route_ids,route_colors
14467,FINCH STATION - SUBWAY PLATFORM,43.780847,-79.415291,61456,D5C82B
14468,KIPLING STATION - EASTBOUND PLATFORM,43.637648,-79.535694,61457,008000
14469,ISLINGTON STATION - EASTBOUND PLATFORM,43.645548,-79.523293,61457,008000
14470,ROYAL YORK STATION - EASTBOUND PLATFORM,43.648548,-79.508693,61457,008000
14471,OLD MILL STATION - EASTBOUND PLATFORM,43.649448,-79.493392,61457,008000
14472,JANE STATION - EASTBOUND PLATFORM,43.650149,-79.482892,61457,008000
14473,RUNNYMEDE STATION - EASTBOUND PLATFORM,43.652049,-79.474992,61457,008000
14474,HIGH PARK STATION - EASTBOUND PLATFORM,43.653849,-79.466991,61457,008000
14475,KEELE STATION - EASTBOUND PLATFORM,43.655649,-79.458691,61457,008000
14476,DUNDAS WEST STATION - EASTBOUND PLATFORM,43.657449,-79.451091,61457,008000
14477,LANSDOWNE STATION - EASTBOUND PLATFORM,43.659246,-79.442463,61457,008000
14478,DUFFERIN STATION - EASTBOUND PLATFORM,43.660849,-79.43389,61457,008000
14479,OSSINGTON STATION - EASTBOUND PLATFORM,43.662349,-79.42609,61457,008000
14480,CHRISTIE STATION - EASTBOUND PLATFORM,43.664449,-79.41729,61457,008000
14481,BATHURST STATION - EASTBOUND PLATFORM,43.665949,-79.410589,61457,008000
14482,SPADINA STATION - EASTBOUND PLATFORM,43.667249,-79.403889,61457,008000
14483,ST GEORGE STATION - EASTBOUND PLATFORM,43.668549,-79.397989,61457,008000
14484,BAY STATION - EASTBOUND PLATFORM,43.670149,-79.390089,61457,008000
14485,YONGE STATION - EASTBOUND PLATFORM,43.670997,-79.385956,61457,008000
14486,SHERBOURNE STATION - EASTBOUND PLATFORM,43.672103,-79.376162,61457,008000
14487,CASTLE FRANK STATION - EASTBOUND PLATFORM,43.674049,-79.368088,61457,008000
14488,BROADVIEW STATION - EASTBOUND PLATFORM,43.677049,-79.358088,61457,008000
14489,CHESTER STATION - EASTBOUND PLATFORM,43.678241,-79.352502,61457,008000
14490,PAPE STATION - EASTBOUND PLATFORM,43.679949,-79.344087,61457,008000
14491,DONLANDS STATION - EASTBOUND PLATFORM,43.681149,-79.337487,61457,008000
14492,GREENWOOD STATION - EASTBOUND PLATFORM,43.682549,-79.331687,61457,008000
14493,COXWELL STATION - EASTBOUND PLATFORM,43.684549,-79.321986,61457,008000
14494,WOODBINE STATION - EASTBOUND PLATFORM,43.686649,-79.312286,61457,008000
14495,MAIN STREET STATION - EASTBOUND PLATFORM,43.689249,-79.300686,61457,008000
14496,VICTORIA PARK STATION - EASTBOUND PLATFORM,43.695149,-79.287885,61457,008000
14497,WARDEN STATION - EASTBOUND PLATFORM,43.712149,-79.278785,61457,008000
14498,KENNEDY STATION - SUBWAY PLATFORM,43.732487,-79.263718,61457,008000
14499,KENNEDY STATION - WESTBOUND PLATFORM,43.732149,-79.264785,61457,008000
14500,WARDEN STATION - WESTBOUND PLATFORM,43.710949,-79.279085,61457,008000
14501,VICTORIA PARK STATION - WESTBOUND PLATFORM,43.694649,-79.289485,61457,008000
14502,MAIN STREET STATION - WESTBOUND PLATFORM,43.688949,-79.302386,61457,008000
14503,WOODBINE STATION - WESTBOUND PLATFORM,43.686349,-79.313986,61457,008000
14504,COXWELL STATION - WESTBOUND PLATFORM,43.684249,-79.323686,61457,008000
14505,GREENWOOD STATION - WESTBOUND PLATFORM,43.682849,-79.329987,61457,008000
14506,DONLANDS STATION - WESTBOUND PLATFORM,43.680949,-79.339187,61457,008000
14507,PAPE STATION - WESTBOUND PLATFORM,43.679649,-79.345787,61457,008000
14508,CHESTER STATION - WESTBOUND PLATFORM,43.678351,-79.352537,61457,008000
14509,BROADVIEW STATION - WESTBOUND PLATFORM,43.676349,-79.359588,61457,008000
14510,CASTLE FRANK STATION - WESTBOUND PLATFORM,43.673549,-79.369788,61457,008000
14511,SHERBOURNE STATION - WESTBOUND PLATFORM,43.672174,-79.376173,61457,008000
14512,YONGE STATION - WESTBOUND PLATFORM,43.671049,-79.386789,61457,008000
14513,BAY STATION - WESTBOUND PLATFORM,43.669849,-79.391789,61457,008000
14514,ST GEORGE STATION - WESTBOUND PLATFORM,43.668249,-79.399689,61457,008000
14515,SPADINA STATION - WESTBOUND PLATFORM,43.666949,-79.405689,61457,008000
14516,BATHURST STATION - WESTBOUND PLATFORM,43.665649,-79.41229,61457,008000
14517,CHRISTIE STATION - WESTBOUND PLATFORM,43.664149,-79.41899,61457,008000
14518,OSSINGTON STATION - WESTBOUND PLATFORM,43.662049,-79.42789,61457,008000
14519,DUFFERIN STATION - WESTBOUND PLATFORM,43.660549,-79.43569,61457,008000
14520,LANSDOWNE STATION - WESTBOUND PLATFORM,43.659314,-79.442471,61457,008000
14521,DUNDAS WEST STATION - WESTBOUND PLATFORM,43.657149,-79.452791,61457,008000
14522,KEELE STATION - WESTBOUND PLATFORM,43.655349,-79.460391,61457,008000
14523,HIGH PARK STATION - WESTBOUND PLATFORM,43.653549,-79.468691,61457,008000
14524,RUNNYMEDE STATION - WESTBOUND PLATFORM,43.651749,-79.476692,61457,008000
14525,JANE STATION - WESTBOUND PLATFORM,43.649749,-79.484592,61457,008000
14526,OLD MILL STATION - WESTBOUND PLATFORM,43.650048,-79.494892,61457,008000
14527,ROYAL YORK STATION - WESTBOUND PLATFORM,43.648348,-79.510493,61457,008000
14528,ISLINGTON STATION - WESTBOUND PLATFORM,43.645248,-79.524994,61457,008000
14529,KIPLING STATION - SUBWAY PLATFORM,43.637392,-79.535892,61457,008000
14530,SHEPPARD-YONGE STATION - EASTBOUND PLATFORM,43.761494,-79.410394,61459,B300B3
14531,BAYVIEW STATION - EASTBOUND PLATFORM,43.766872,-79.386703,61459,B300B3
14532,BESSARION STATION - EASTBOUND PLATFORM,43.769202,-79.376312,61459,B300B3
14533,LESLIE STATION - EASTBOUND PLATFORM,43.771348,-79.36499,61459,B300B3
14534,DON MILLS STATION - SUBWAY PLATFORM,43.775547,-79.346584,61459,B300B3
14535,DON MILLS STATION - WESTBOUND PLATFORM,43.775248,-79.346189,61459,B300B3
14536,LESLIE STATION - WESTBOUND PLATFORM,43.771248,-79.36679,61459,B300B3
14537,BESSARION STATION - WESTBOUND PLATFORM,43.769296,-79.376345,61459,B300B3
14538,BAYVIEW STATION - WESTBOUND PLATFORM,43.766951,-79.38673,61459,B300B3
14539,SHEPPARD-YONGE STATION - SUBWAY PLATFORM,43.761648,-79.410091,61459,B300B3
14541,MCCOWAN STATION - WESTBOUND PLATFORM,43.774882,-79.251654,61458,108BEF
14542,SCARBOROUGH CENTRE STATION - WESTBOUND PLATFORM,43.774448,-79.257786,61458,108BEF
14543,MIDLAND STATION - WESTBOUND PLATFORM,43.770448,-79.272286,61458,108BEF
14544,ELLESMERE STATION - SOUTHBOUND PLATFORM,43.766548,-79.276186,61458,108BEF
14545,LAWRENCE EAST STATION - SOUTHBOUND PLATFORM,43.750148,-79.270186,61458,108BEF
14546,KENNEDY STATION - PLATFORM,43.732382,-79.263862,61458,108BEF
14547,KENNEDY STATION - NORTHBOUND PLATFORM,43.732449,-79.263885,61458,108BEF
14548,LAWRENCE EAST STATION - NORTHBOUND PLATFORM,43.750748,-79.270186,61458,108BEF
14549,ELLESMERE STATION - NORTHBOUND PLATFORM,43.767048,-79.276286,61458,108BEF
14550,MIDLAND STATION - EASTBOUND PLATFORM,43.770448,-79.271586,61458,108BEF
14551,SCARBOROUGH CENTRE STATION - EASTBOUND PLATFORM,43.774548,-79.257086,61458,108BEF
14552,MCCOWAN STATION - PLATFORM,43.77496,-79.251111,61458,108BEF
15692,PIONEER VILLAGE STATION - SOUTHBOUND PLATFORM,43.77675,-79.509372,61456,D5C82B
